节点ID,节点类型,节点名称,所有属性
84,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 1, ""class"": ""porosity_region"", ""bbox"": [1406.272727272727, 1930.3030303030303, 1560.8181818181815, 2100.0], ""confidence"": 0.95, ""image_id"": ""img_23"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 104, ""density"": ""very_high""}"
85,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 1, ""class"": ""porosity_region"", ""bbox"": [642.7350427350427, 716.2393162393163, 686.3247863247864, 755.982905982906], ""confidence"": 0.95, ""image_id"": ""img_24"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 6, ""density"": ""very_high""}"
86,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 2, ""class"": ""porosity_region"", ""bbox"": [656.4102564102565, 651.7094017094017, 688.8888888888889, 705.982905982906], ""confidence"": 0.95, ""image_id"": ""img_24"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 7, ""density"": ""very_high""}"
87,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 3, ""class"": ""porosity_region"", ""bbox"": [620.0854700854701, 812.8205128205128, 656.4102564102565, 872.6495726495727], ""confidence"": 0.95, ""image_id"": ""img_24"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 8, ""density"": ""very_high""}"
88,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [275.6757834757835, 497.2641025641026, 1041.2757834757836, 1007.8641025641025], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.4994124559341957, ""position"": ""edge""}"
89,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [326.7357834757835, 548.3241025641025, 990.2157834757836, 956.8041025641025], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.6242655699177442, ""position"": ""edge""}"
90,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 1, ""class"": ""porosity_region"", ""bbox"": [2726.333333333333, 834.8717948717948, 2859.6666666666665, 968.2051282051282], ""confidence"": 0.95, ""image_id"": ""img_25"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 71, ""density"": ""very_high""}"
91,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 1, ""class"": ""porosity_region"", ""bbox"": [515.5737704918033, 768.032786885246, 648.360655737705, 929.5081967213115], ""confidence"": 0.95, ""image_id"": ""img_26"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 85, ""density"": ""very_high""}"
92,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 1, ""class"": ""porosity_region"", ""bbox"": [1460.0, 488.33333333333337, 1545.0, 563.3333333333334], ""confidence"": 0.95, ""image_id"": ""img_27"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 25, ""density"": ""very_high""}"
93,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 2, ""class"": ""porosity_region"", ""bbox"": [1345.0, 1391.6666666666667, 1433.3333333333335, 1481.6666666666667], ""confidence"": 0.95, ""image_id"": ""img_27"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 31, ""density"": ""very_high""}"
94,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 3, ""class"": ""porosity_region"", ""bbox"": [1116.6666666666667, 3056.666666666667, 1203.3333333333335, 3141.666666666667], ""confidence"": 0.95, ""image_id"": ""img_27"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 29, ""density"": ""very_high""}"
95,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [443.3555555555557, 1082.4222222222224, 2257.7555555555555, 2292.0222222222224], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.4999999999999998, ""position"": ""edge""}"
96,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [564.3155555555558, 1203.3822222222225, 2136.7955555555554, 2171.0622222222223], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.6249999999999998, ""position"": ""edge""}"
97,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 1, ""class"": ""porosity_region"", ""bbox"": [740.2903225806451, 1787.0967741935483, 924.1612903225807, 1912.9032258064517], ""confidence"": 0.95, ""image_id"": ""img_28"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 92, ""density"": ""very_high""}"
98,"[__Node__, Defect, pit_depression]",Pit Depression,"{""local_id"": 2, ""class"": ""pit_depression"", ""bbox"": [575.7741935483871, 1204.8387096774195, 759.6451612903227, 1314.516129032258], ""confidence"": 0.95, ""image_id"": ""img_28"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 32.903225806451566, ""shape_regularity"": ""irregular""}"
99,"[__Node__, Defect, pit_depression]",Pit Depression,"{""local_id"": 3, ""class"": ""pit_depression"", ""bbox"": [429.0, 711.2903225806451, 648.3548387096773, 920.9677419354839], ""confidence"": 0.95, ""image_id"": ""img_28"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 62.90322580645163, ""shape_regularity"": ""irregular""}"
100,"[__Node__, Defect, pit_depression]",Pit Depression,"{""local_id"": 4, ""class"": ""pit_depression"", ""bbox"": [677.3870967741937, 1390.3225806451612, 825.7741935483871, 1511.2903225806451], ""confidence"": 0.95, ""image_id"": ""img_28"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 36.29032258064517, ""shape_regularity"": ""irregular""}"
101,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [205.54838709677415, 796.9532258064518, 1189.5483870967741, 1891.3532258064515], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 0.8991228070175442, ""position"": ""edge""}"
102,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [303.9483870967741, 895.3532258064517, 1091.148387096774, 1792.9532258064514], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 0.8770053475935832, ""position"": ""edge""}"
103,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 1, ""class"": ""porosity_region"", ""bbox"": [1343.3333333333335, 349.95238095238096, 1507.6190476190477, 490.42857142857144], ""confidence"": 0.95, ""image_id"": ""img_29"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 92, ""density"": ""very_high""}"
104,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 1, ""class"": ""porosity_region"", ""bbox"": [1624.2857142857144, 638.047619047619, 1829.047619047619, 838.047619047619], ""confidence"": 0.95, ""image_id"": ""img_30"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 163, ""density"": ""very_high""}"
105,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 1, ""class"": ""porosity_region"", ""bbox"": [1106.1349693251534, 1842.9447852760734, 1207.9754601226994, 1996.9325153374232], ""confidence"": 0.95, ""image_id"": ""img_31"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 62, ""density"": ""very_high""}"
106,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 1, ""class"": ""porosity_region"", ""bbox"": [910.6976744186047, 570.232558139535, 981.8604651162791, 674.8837209302326], ""confidence"": 0.95, ""image_id"": ""img_32"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 29, ""density"": ""very_high""}"
107,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 1, ""class"": ""porosity_region"", ""bbox"": [1586.2068965517242, 1189.6551724137933, 2536.206896551724, 1574.1379310344828], ""confidence"": 0.95, ""image_id"": ""img_33"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 1461, ""density"": ""very_high""}"
108,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 1, ""class"": ""porosity_region"", ""bbox"": [2030.304347826087, 1456.5217391304348, 2193.3478260869565, 1623.9130434782608], ""confidence"": 0.95, ""image_id"": ""img_34"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 109, ""density"": ""very_high""}"
109,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 1, ""class"": ""porosity_region"", ""bbox"": [409.5757575757575, 1603.3636363636363, 785.3333333333333, 1918.5151515151515], ""confidence"": 0.95, ""image_id"": ""img_35"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 473, ""density"": ""very_high""}"
110,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 2, ""class"": ""porosity_region"", ""bbox"": [2567.151515151515, 1185.181818181818, 3297.4545454545455, 1515.4848484848485], ""confidence"": 0.95, ""image_id"": ""img_35"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 964, ""density"": ""very_high""}"
111,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [670.4787878787879, 1145.2363636363634, 2859.2787878787876, 1966.0363636363636], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 2.6666666666666656, ""position"": ""edge""}"
112,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [752.5587878787879, 1227.3163636363633, 2777.1987878787877, 1883.9563636363637], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 3.0833333333333317, ""position"": ""edge""}"
113,"[__Node__, Defect, overlap_bump]",Overlap Bump,"{""local_id"": 1, ""class"": ""overlap_bump"", ""bbox"": [285.61151079136687, 1033.8129496402876, 381.2949640287769, 1143.8848920863309], ""confidence"": 0.95, ""image_id"": ""img_36"", ""is_component"": false, ""is_defect"": true, ""height_estimate"": 76.54676258992804, ""shape"": ""protrusion""}"
114,"[__Node__, Defect, overlap_bump]",Overlap Bump,"{""local_id"": 2, ""class"": ""overlap_bump"", ""bbox"": [723.0215827338129, 1156.8345323741007, 804.3165467625898, 1256.8345323741007], ""confidence"": 0.95, ""image_id"": ""img_36"", ""is_component"": false, ""is_defect"": true, ""height_estimate"": 65.03597122302153, ""shape"": ""protrusion""}"
115,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [164.5611510791366, 806.4417266187048, 932.5611510791366, 1489.241726618705], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.1247803163444638, ""position"": ""edge""}"
116,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [232.8411510791366, 874.7217266187048, 864.2811510791366, 1420.961726618705], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.1559753954305798, ""position"": ""edge""}"
117,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 1, ""class"": ""porosity_region"", ""bbox"": [1297.4545454545453, 848.8181818181818, 1612.6060606060605, 1133.6666666666665], ""confidence"": 0.95, ""image_id"": ""img_37"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 359, ""density"": ""very_high""}"
118,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 1, ""class"": ""porosity_region"", ""bbox"": [1021.6969696969695, 1151.8484848484848, 2009.5757575757575, 1460.9393939393938], ""confidence"": 0.95, ""image_id"": ""img_38"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 1221, ""density"": ""very_high""}"
119,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 1, ""class"": ""porosity_region"", ""bbox"": [1412.6060606060605, 1467.0, 1700.4848484848485, 1721.5454545454545], ""confidence"": 0.95, ""image_id"": ""img_39"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 293, ""density"": ""very_high""}"
120,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 1, ""class"": ""porosity_region"", ""bbox"": [2559.722222222222, 752.7777777777778, 2659.722222222222, 859.7222222222223], ""confidence"": 0.95, ""image_id"": ""img_40"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 42, ""density"": ""very_high""}"
121,"[__Node__, Defect, overlap_bump]",Overlap Bump,"{""local_id"": 1, ""class"": ""overlap_bump"", ""bbox"": [1454.166666666667, 1814.0, 1691.666666666667, 2093.166666666667], ""confidence"": 0.95, ""image_id"": ""img_41"", ""is_component"": false, ""is_defect"": true, ""height_estimate"": 190.0, ""shape"": ""protrusion""}"
122,"[__Node__, Defect, overlap_bump]",Overlap Bump,"{""local_id"": 1, ""class"": ""overlap_bump"", ""bbox"": [2832.5, 1044.875, 3173.125, 1454.25], ""confidence"": 0.95, ""image_id"": ""img_42"", ""is_component"": false, ""is_defect"": true, ""height_estimate"": 272.5, ""shape"": ""protrusion""}"
123,"[__Node__, Defect, pit_depression]",Pit Depression,"{""local_id"": 2, ""class"": ""pit_depression"", ""bbox"": [3479.012345679012, 1474.074074074074, 3718.5185185185182, 1695.0617283950617], ""confidence"": 0.95, ""image_id"": ""img_42"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 66.29629629629632, ""shape_regularity"": ""irregular""}"
124,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [2091.1889660493825, 963.4652006172839, 4032, 1870.6652006172837], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 2.139341968640452, ""position"": ""edge""}"
125,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [2181.9089660493823, 1054.185200617284, 3941.28, 1779.9452006172837], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 2.4241774608005655, ""position"": ""edge""}"
126,"[__Node__, Defect, overlap_bump]",Overlap Bump,"{""local_id"": 1, ""class"": ""overlap_bump"", ""bbox"": [1331.5789473684208, 1138.5964912280701, 1614.035087719298, 1389.4736842105262], ""confidence"": 0.95, ""image_id"": ""img_43"", ""is_component"": false, ""is_defect"": true, ""height_estimate"": 200.7017543859649, ""shape"": ""protrusion""}"
127,"[__Node__, Defect, pit_depression]",Pit Depression,"{""local_id"": 2, ""class"": ""pit_depression"", ""bbox"": [889.4736842105262, 412.2807017543859, 989.4736842105262, 561.4035087719298], ""confidence"": 0.95, ""image_id"": ""img_43"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 30.0, ""shape_regularity"": ""irregular""}"
128,"[__Node__, Defect, other]",Other,"{""local_id"": 3, ""class"": ""other"", ""bbox"": [980.7017543859648, 735.0877192982456, 1091.2280701754385, 896.4912280701753], ""confidence"": 0.95, ""image_id"": ""img_43"", ""is_component"": false, ""is_defect"": false}"
129,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [298.9403508771928, 270.6385964912281, 2113.3403508771926, 1480.238596491228], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.4999999999999998, ""position"": ""center""}"
130,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [419.9003508771928, 391.5985964912281, 1992.3803508771925, 1359.278596491228], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.625, ""position"": ""edge""}"
131,"[__Node__, Defect, overlap_bump]",Overlap Bump,"{""local_id"": 1, ""class"": ""overlap_bump"", ""bbox"": [833.2307692307693, 486.6923076923077, 1051.6923076923076, 682.0769230769231], ""confidence"": 0.95, ""image_id"": ""img_44"", ""is_component"": false, ""is_defect"": true, ""height_estimate"": 156.30769230769235, ""shape"": ""protrusion""}"
132,"[__Node__, Defect, overlap_bump]",Overlap Bump,"{""local_id"": 1, ""class"": ""overlap_bump"", ""bbox"": [776.3076923076924, 511.30769230769226, 956.3076923076924, 691.3076923076923], ""confidence"": 0.95, ""image_id"": ""img_45"", ""is_component"": false, ""is_defect"": true, ""height_estimate"": 144.0, ""shape"": ""protrusion""}"
133,"[__Node__, Defect, overlap_bump]",Overlap Bump,"{""local_id"": 2, ""class"": ""overlap_bump"", ""bbox"": [791.6923076923076, 883.6153846153846, 965.5384615384614, 1032.8461538461538], ""confidence"": 0.95, ""image_id"": ""img_45"", ""is_component"": false, ""is_defect"": true, ""height_estimate"": 119.38461538461534, ""shape"": ""protrusion""}"
